Timestamp,mq3,mq2,mq6,mq9,mq8,mq5,mics_Vnox,mics_Vred
2024-04-04 11:50:04,33,196,195,195,195,194,868,125
2024-04-04 11:50:05,33,183,182,182,182,181,868,126
2024-04-04 11:50:06,33,164,162,163,162,161,868,127
2024-04-04 11:50:07,33,199,197,197,196,195,868,128
2024-04-04 11:50:08,33,197,196,196,196,195,868,128
2024-04-04 11:50:09,33,186,185,186,185,184,868,127
2024-04-04 11:50:10,33,181,180,180,179,178,868,124
2024-04-04 11:50:11,33,187,186,185,185,184,868,120
2024-04-04 11:50:12,33,189,188,188,187,186,868,120
2024-04-04 11:50:13,33,184,184,184,183,182,868,121
2024-04-04 11:50:14,33,183,182,181,180,180,869,121
2024-04-04 11:50:15,33,180,179,178,178,177,869,122
2024-04-04 11:50:16,33,195,194,194,193,192,869,122
2024-04-04 11:50:17,33,176,176,175,175,174,869,121
2024-04-04 11:50:18,33,182,181,181,180,179,869,120
2024-04-04 11:50:19,33,186,185,184,184,182,869,121
2024-04-04 11:50:20,33,189,188,188,187,186,869,121
2024-04-04 11:50:21,33,183,182,182,182,181,869,121
2024-04-04 11:50:22,33,191,190,190,189,188,869,120
2024-04-04 11:50:23,33,184,183,182,181,180,869,120
2024-04-04 11:50:24,33,189,188,187,187,186,869,120
2024-04-04 11:50:25,33,188,187,187,187,186,869,119
2024-04-04 11:50:26,33,184,183,183,183,182,869,120
2024-04-04 11:50:27,33,181,180,180,180,179,869,120
2024-04-04 11:50:28,33,184,183,182,182,181,869,120
2024-04-04 11:50:29,33,188,187,186,186,185,869,119
2024-04-04 11:50:30,33,190,189,189,188,187,869,120
2024-04-04 11:50:31,33,185,184,184,184,183,870,120
2024-04-04 11:50:32,33,181,181,180,180,179,870,120
2024-04-04 11:50:33,33,184,183,183,182,181,870,119
2024-04-04 11:50:34,32,190,189,188,188,187,869,119
2024-04-04 11:50:35,33,189,189,189,188,187,870,121
2024-04-04 11:50:36,33,183,182,181,181,180,870,121
2024-04-04 11:50:37,33,182,181,181,180,180,870,120
2024-04-04 11:50:38,33,188,187,186,186,185,870,121
2024-04-04 11:50:39,33,188,187,187,186,185,870,121
2024-04-04 11:50:40,33,187,186,186,186,185,870,120
2024-04-04 11:50:41,33,175,175,175,174,174,870,120
2024-04-04 11:50:42,33,178,176,176,175,174,870,125
2024-04-04 11:50:43,33,193,191,191,190,190,870,126
